Address,Neighborhood,HouseType,Price,Bath,CrimeIndex,MinutesToLoop,MilesToLake,Age,LotSizeSqft,HouseSizeSqft,SchoolIndex
"1808 W Haddon Ave, Chicago IL",Wicker Park,Multi-Family Home,565000,4,4.88,9,3.4,131,2178,2200,59.5
"1720 W Le Moyne St #2, Chicago IL",Wicker Park,Condo,565000,4,5.18,9,3.07,0,0,3000,50
"1725 W Le Moyne St #2, Chicago IL",Wicker Park,Multi-Family Home,580000,3,5.18,9,3.08,108,2614,2656,50
"1928 W Crystal St, Chicago IL",Wicker Park,Multi-Family Home,580000,3,4.99,9,3.56,119,3049,3612,59.5
"1632 W Julian St, Chicago IL",Wicker Park,Multi-Family Home,581000,3,4.63,9,2.94,121,2614,2646,50
"1634 W Julian St, Chicago IL",Wicker Park,Multi-Family Home,581000,3,4.63,9,2.94,121,2614,3432,50
"2034 W Willow St #D, Chicago IL",Wicker Park,Condo,585000,3,5.58,11,3.46,0,871,1983,36.1
"1409 N Ashland Ave, Chicago IL",Wicker Park,Multi-Family Home,590000,2,4.5,8,2.9,119,2614,2352,78.9
"1411 N Ashland Ave, Chicago IL",Wicker Park,Multi-Family Home,590000,2,4.5,8,2.9,118,2614,2544,78.9
"1105 N Wolcott Ave, Chicago IL",Wicker Park,Condo,590000,2,3.29,9,3.56,0,871,2183,59.5
"1611 N Bell Ave #3N, Chicago IL",Wicker Park,Condo,597500,4,6.25,10,3.9,0,0,3000,36.1
"1742 N Wilmot Ave, Chicago IL",Wicker Park,Condo,600000,4,5.58,11,3.61,0,0,3000,36.1
"1723 W Le Moyne St, Chicago IL",Wicker Park,Single-Family Home,610000,2,5.18,9,3.08,115,2614,392,50
"2047 W Thomas St, Chicago IL",Wicker Park,Multi-Family Home,620000,4,2.09,9,3.84,94,3049,3492,36.2
"1422 N Hoyne Ave #1, Chicago IL",Wicker Park,Multi-Family Home,624000,3,3.89,10,3.76,109,3485,3663,69.4
"1614 W Pierce Ave, Chicago IL",Wicker Park,Multi-Family Home,625000,3,4.43,8,2.87,123,2614,3360,50
"1613 N Wolcott Ave, Chicago IL",Wicker Park,Condo,634000,4,5.65,9,3.3,0,0,3000,33.3
"1611 N Wolcott Ave, Chicago IL",Wicker Park,Condo,634000,4,5.65,9,3.3,0,0,3000,33.3
"1750 N Wolcott Ave #204, Chicago IL",Wicker Park,Condo,635000,4,4.65,10,3.26,0,0,3000,36.1
"1901 W Division St #4S, Chicago IL",Wicker Park,Condo,642000,4,3.99,8,3.55,0,0,3000,59.5
"1237 N Wolcott Ave, Chicago IL",Wicker Park,Multi-Family Home,647500,3,4.99,9,3.49,119,3920,4125,59.5
"1236 N Hoyne Ave, Chicago IL",Wicker Park,Single-Family Home,650000,2,3.39,11,3.85,31,7405,900,69.4
"2116 W Potomac Ave, Chicago IL",Wicker Park,Multi-Family Home,650000,3,3.89,10,3.86,119,3485,3618,16.7
"1130 N Winchester Ave, Chicago IL",Wicker Park,Multi-Family Home,655000,2,3.49,9,3.66,114,3485,1484,59.5
"1649 N Wolcott Ave, Chicago IL",Wicker Park,Multi-Family Home,660000,3,5.65,10,3.29,118,2614,2777,33.3
"1742 W Potomac Ave, Chicago IL",Wicker Park,Single-Family Home,662000,2,4.93,9,3.26,131,2614,1734,59.5
"1738 W Wabansia Ave, Chicago IL",Wicker Park,Single-Family Home,675000,2,4.65,9,3.03,114,1742,2279,33.3
"2043 W Thomas St, Chicago IL",Wicker Park,Single-Family Home,680000,2,2.09,9,3.83,111,3049,1214,36.2
"1634 W Wabansia Ave, Chicago IL",Wicker Park,Single-Family Home,695000,2,1.4,8,2.86,23,2614,1628,50
"1754 W Crystal St, Chicago IL",Wicker Park,Single-Family Home,695000,3,4.93,9,3.29,0,2614,2403,59.5
"1916 W Potomac Ave, Chicago IL",Wicker Park,Single-Family Home,722000,2,4.99,10,3.52,21,3049,2349,69.4
"1249 N Marion Ct, Chicago IL",Wicker Park,Single-Family Home,730000,2,5.74,9,3.42,0,2614,2420,59.5
"1744 N Wilmot Ave, Chicago IL",Wicker Park,Single-Family Home,770000,3,5.58,11,3.61,0,2614,2997,36.1
"1500 N Paulina St, Chicago IL",Wicker Park,Single-Family Home,870000,2,4.93,8,3.03,14,2614,1996,50
"2152 W Caton St, Chicago IL",Wicker Park,Single-Family Home,885000,3,5.58,11,3.72,121,4792,3461,36.1
"2045 W Saint Paul Ave, Chicago IL",Wicker Park,Single-Family Home,949000,4,5.58,22,3.5,104,2614,3858,36.1
"1735 N Hermitage Ave, Chicago IL",Wicker Park,Single-Family Home,982500,3,4.65,9,2.98,0,2614,2783,33.3
"1756 N Wilmot Ave, Chicago IL",Wicker Park,Single-Family Home,1000000,3,5.58,11,3.61,0,2614,2739,36.1
"1746 N Wood St, Chicago IL",Wicker Park,Single-Family Home,1040000,3,4.65,10,3.09,8,3049,2739,33.3
"1610 N Winchester Ave, Chicago IL",Wicker Park,Single-Family Home,1050000,2,5.65,9,3.41,131,3049,2580,69.4
"1357 N Bell Ave, Chicago IL",Wicker Park,Single-Family Home,1125000,2,4.93,10,4.03,21,3049,1290,16.7
"1732 N Winchester Ave, Chicago IL",Wicker Park,Single-Family Home,1300000,3,4.65,10,3.35,0,3049,3043,36.1
"1924 W Wabansia Ave, Chicago IL",Wicker Park,Single-Family Home,1357000,2,4.65,10,3.33,16,3920,2311,36.1
"1435 N Elk Grove Ave, Chicago IL",Wicker Park,Single-Family Home,1550000,3,5.99,9,3.24,0,2614,2620,69.4
"1522 N Elk Grove Ave, Chicago IL",Wicker Park,Single-Family Home,1570000,4,5.79,8,3.33,0,3049,3276,69.4
"1456 N Milwaukee Ave, Chicago IL",Wicker Park,Multi-Family Home,2150000,4,6.09,8,3.35,128,3049,6422,69.4
